start,stop,ligne
BREGUETSABIN,RICHARDLENOIR,5
BASTILLE,BREGUETSABIN,5
QUAIDELARAPEE,BASTILLE,5
GAREDAUSTERLITZ,QUAIDELARAPEE,5
STMARCEL,GAREDAUSTERLITZ,5
CAMPOFORMIO,STMARCEL,5
PLACEDITALIE,CAMPOFORMIO,5
CHARLESDEGAULLEETOILE,KLEBER,6
KLEBER,BOISSIERE,6
BOISSIERE,TROCADERO,6
TROCADERO,PASSY,6
PASSY,BIRHAKEIM,6
BIRHAKEIM,DUPLEIX,6
DUPLEIX,LAMOTTEPICQUETGRENELLE,6
LAMOTTEPICQUETGRENELLE,CAMBRONNE,6
CAMBRONNE,SEVRESLECOURBE,6
SEVRESLECOURBE,PASTEUR,6
PASTEUR,MONTPARNASSEBIENVENUE,6
MONTPARNASSEBIENVENUE,EDGARQUINET,6
EDGARQUINET,RASPAIL,6
RASPAIL,DENFERTROCHEREAU,6
DENFERTROCHEREAU,STJACQUES,6
STJACQUES,GLACIERE,6
GLACIERE,CORVISART,6
CORVISART,PLACEDITALIE,6
PLACEDITALIE,NATIONALE,6
NATIONALE,CHEVALERET,6
CHEVALERET,QUAIDELAGARE,6
QUAIDELAGARE,BERCY,6
BERCY,DUGOMMIER,6
DUGOMMIER,DAUMESNIL,6
DAUMESNIL,BELAIR,6
BELAIR,PICPUS,6
PICPUS,NATION,6
KLEBER,CHARLESDEGAULLEETOILE,6
BOISSIERE,KLEBER,6
TROCADERO,BOISSIERE,6
PASSY,TROCADERO,6
BIRHAKEIM,PASSY,6
DUPLEIX,BIRHAKEIM,6
LAMOTTEPICQUETGRENELLE,DUPLEIX,6
CAMBRONNE,LAMOTTEPICQUETGRENELLE,6
SEVRESLECOURBE,CAMBRONNE,6
PASTEUR,SEVRESLECOURBE,6
MONTPARNASSEBIENVENUE,PASTEUR,6
EDGARQUINET,MONTPARNASSEBIENVENUE,6
RASPAIL,EDGARQUINET,6
DENFERTROCHEREAU,RASPAIL,6
STJACQUES,DENFERTROCHEREAU,6
GLACIERE,STJACQUES,6
CORVISART,GLACIERE,6
PLACEDITALIE,CORVISART,6
NATIONALE,PLACEDITALIE,6
CHEVALERET,NATIONALE,6
QUAIDELAGARE,CHEVALERET,6
BERCY,QUAIDELAGARE,6
DUGOMMIER,BERCY,6
DAUMESNIL,DUGOMMIER,6
BELAIR,DAUMESNIL,6
PICPUS,BELAIR,6
NATION,PICPUS,6
LACOURNEUVEMAI,FORTDAUBERVILLIERS,7
FORTDAUBERVILLIERS,AUBERVILLIERSPANTINQUATRECHEMINS,7
AUBERVILLIERSPANTINQUATRECHEMINS,PORTEDELAVILLETTE,7
PORTEDELAVILLETTE,CORENTINCARIOU,7
CORENTINCARIOU,CRIMEE,7
CRIMEE,RIQUET,7
RIQUET,STALINGRAD,7
STALINGRAD,LOUISBLANC,7
LOUISBLANC,CHATEAULANDON,7
CHATEAULANDON,GAREDELEST,7
GAREDELEST,POISSONNIERE,7
POISSONNIERE,CADET,7
CADET,LEPELETIER,7
LEPELETIER,CHAUSSEEDANTINLAFAYETTE,7
CHAUSSEEDANTINLAFAYETTE,OPERA,7
OPERA,PYRAMIDES,7
PYRAMIDES,PALAISROYALMUSEEDULOUVRE,7
PALAISROYALMUSEEDULOUVRE,PONTNEUF,7
PONTNEUF,CHATELET,7
CHATELET,PONTMARIE,7
PONTMARIE,SULLYMORLAND,7
SULLYMORLAND,JUSSIEU,7
JUSSIEU,PLACEMONGE,7
PLACEMONGE,CENSIERDAUBENTON,7
CENSIERDAUBENTON,LESGOBELINS,7
