nom_clean,nom_gare,x,y,Trafic,Ville,ligne
GAREDAUSTERLITZ,Gare d'Austerlitz,653420.212,6860433.5551,10443637,Paris,10
GAREDELEST,Gare de l'Est,652916.6085,6864219.2029,21432041,Paris,4
GAREDELEST,Gare de l'Est,652916.6085,6864219.2029,21432041,Paris,5
GAREDELEST,Gare de l'Est,652916.6085,6864219.2029,21432041,Paris,7
GAREDELYON,Gare de Lyon,654129.8636,6860846.2479,36864326,Paris,1
GAREDELYON,Gare de Lyon,654129.8636,6860846.2479,36864326,Paris,14
GAREDUNORD,Gare du Nord,652875.9451,6864617.3479,45793828,Paris,4
GAREDUNORD,Gare du Nord,652875.9451,6864617.3479,45793828,Paris,5
GARIBALDI,Garibaldi,651021.0832,6867551.1312,3692242,Saint Ouen,13
GEORGEV,George-V,648695.3653,6863782.5778,6380669,Paris,1
GLACIERE,Glacière,651808.0022,6859208.4674,4863838,Paris,6
GONCOURT,Goncourt (Hôpital Saint-Louis),653867.1922,6863509.3023,3420469,Paris,11
GRANDSBOULEVARDS,Grands Boulevards (Rue Montmartre),651819.1431,6863697.2503,7416725,Paris,8
GRANDSBOULEVARDS,Grands Boulevards (Rue Montmartre),651819.1431,6863697.2503,7416725,Paris,9
GUYMOQUET,Guy Môquet,650685.8186,6866078.8433,4593098,Paris,13
HAVRECAUMARTIN,Havre-Caumartin,650675.9316,6863931.0147,7865303,Paris,3
HAVRECAUMARTIN,Havre-Caumartin,650675.9316,6863931.0147,7865303,Paris,9
HOCHE,Hoche,656177.9025,6865856.7161,5185130,Pantin,5
HOTELDEVILLE,Hôtel de Ville,652424.1554,6862133.2583,11467832,Paris,1
HOTELDEVILLE,Hôtel de Ville,652424.1554,6862133.2583,11467832,Paris,11
IENA,Iéna,648218.8598,6862982.8662,2506768,Paris,9
INVALIDES,Invalides,649665.1809,6862699.9731,6411555,Paris,8
INVALIDES,Invalides,649665.1809,6862699.9731,6411555,Paris,13
JACQUESBONSERGENT,Jacques Bonsergent,653129.4916,6863610.0193,2596218,Paris,5
JASMIN,Jasmin,646299.9369,6861633.6924,2103952,Paris,9
JAURES,Jaurès,653872.0243,6864975.9922,6261040,Paris,2
JAURES,Jaurès,653872.0243,6864975.9922,6261040,Paris,5
JAURES,Jaurès,653872.0243,6864975.9922,6261040,Paris,7bis
JAVELANDRECITROEN,Javel-André Citroën,646993.0906,6860917.8132,3042409,Paris,10
JOURDAIN,Jourdain,655215.4591,6864071.8789,3467807,Paris,11
JULESJOFFRIN,Jules Joffrin,651948.6586,6866024.9374,4677666,Paris,12
JUSSIEU,Jussieu,652668.4784,6860849.4399,4684325,Paris,7
JUSSIEU,Jussieu,652668.4784,6860849.4399,4684325,Paris,10
KLEBER,Kléber,648178.897,6863745.5821,1357710,Paris,6
LACHAPELLE,La Chapelle,653102.402,6865121.3253,6976673,Paris,2
LACOURNEUVEMAI,La Courneuve 8 Mai 1945,656807.0911,6869138.86,5962052,La Courneuve,7
LADEFENSE,La Défense - Grande Arche,644056.2663,6866067.7406,15954978,Puteaux,1
LAFOURCHE,La Fourche,650559.5701,6865452.1927,2814675,Paris,13
LAMARCKCAULAINCOURT,Lamarck-Caulaincourt,651513.7584,6865721.0309,2843167,Paris,12
LAMOTTEPICQUETGRENELLE,La Motte Picquet-Grenelle,648552.855,6861194.8727,7959759,Paris,6
LAMOTTEPICQUETGRENELLE,La Motte Picquet-Grenelle,648552.855,6861194.8727,7959759,Paris,8
LAMOTTEPICQUETGRENELLE,La Motte Picquet-Grenelle,648552.855,6861194.8727,7959759,Paris,10
LAMUETTE,La Muette,646744.2368,6862245.8558,4150248,Paris,9
LATOURMAUBOURG,La Tour Maubourg,649415.3796,6862186.2617,2218166,Paris,8
LAUMIERE,Laumière,654509.0245,6865200.9983,4556699,Paris,5
LEDRUROLLIN,Ledru Rollin,654219.2941,6861428.6032,3977633,Paris,8
LEKREMLINBICETRE,Le Kremlin-Bicêtre,653165.655,6856862.2879,4447608,Kremlin-Bicêtre,7
LEPELETIER,Le Peletier,651605.5387,6864074.5114,2510950,Paris,7
LESAGNETTES,Les Agnettes-Asnières-Gennevilliers,647699.216,6869471.7685,2448699,Asnières sur Seine,13
LESGOBELINS,Les Gobelins,652478.6539,6859729.3272,3595435,Paris,7
LESHALLES,Les Halles,651995.4564,6862674.8091,17509498,Paris,4
LESSABLONS,Les Sablons (Jardin d'acclimatation),646586.9079,6864821.1041,6396994,Neuilly Sur Seine,1
LIBERTE,Liberté,656445.3488,6858607.5005,2631382,Charenton,8
LIEGE,Liège,650643.5277,6864611.9937,1795368,Paris,13
LOUISBLANC,Louis Blanc,653470.1684,6864772.1908,2439575,Paris,7
